data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:40:30.576;5155;5155 IEI RENOVAR DA ESPERANÇA                           ;0;58;58;0;37;37;0;0;0;0;0;0;0;95
2022-05-01 01:40:30.578;5156;5156 IEI LAR ESPERANÇA                                  ;0;59;59;0;84;84;0;0;0;0;0;0;0;143
2022-05-01 01:40:30.579;5157;5157 EEI MARISTA RENASCER                               ;0;30;30;0;25;25;0;0;0;0;0;0;0;55
2022-05-01 01:40:30.580;5158;5158 IEI ESCOLA DA VIDA                                 ;0;33;33;0;33;33;0;0;0;0;0;0;0;66
2022-05-01 01:40:30.581;5159;5159 EEI TIA IARA                                       ;0;27;27;0;15;15;0;0;0;0;0;0;0;42
2022-05-01 01:40:30.582;5160;5160 EEI ANJINHOS DE CRISTAL                            ;0;47;47;0;35;35;0;0;0;0;0;0;0;82
2022-05-01 01:40:30.583;5161;5161 EEI RAIO DE SOL                                    ;0;27;27;0;47;47;0;0;0;0;0;0;0;74
2022-05-01 01:40:30.584;5163;5163 EEI  PLANETA INFANTIL                              ;0;26;26;0;34;34;0;0;0;0;0;0;0;60
2022-05-01 01:40:30.586;5164;5164 EEI ARCO ÍRIS II                                   ;0;51;51;0;0;0;0;0;0;0;0;0;0;51
2022-05-01 01:40:30.587;5165;5165 IEI VOVÓ BELINHA                                   ;0;73;73;0;41;41;0;0;0;0;0;0;0;114
2022-05-01 01:40:30.588;5166;5166 EEI ABRASCE PARTENON                               ;0;58;58;0;50;50;0;0;0;0;0;0;0;108
2022-05-01 01:40:30.589;5167;5167 EEI  PADRE VALLE NOSSO SONHO II                    ;0;58;58;0;63;63;0;0;0;0;0;0;0;121
2022-05-01 01:40:30.590;5168;5168 EEI TIA BETH                                       ;0;15;15;0;45;45;0;0;0;0;0;0;0;60
2022-05-01 01:40:30.591;5169;5169 IEI SONHO MEU                                      ;0;20;20;0;18;18;0;0;0;0;0;0;0;38
